541606, 130.910309, 38.938622
541611, 130.910309, 39.070457
541616, 130.976227, 39.048485
541621, 130.932281, 39.048485
541625, 130.954254, 39.004539
541681, 130.910309, 38.960594
541682, 130.976227, 38.960594
541682, 131.020172, 38.982567
541682, 131.020172, 38.982567
541682, 130.998199, 38.960594
541682, 131.064117, 38.982567
541690, 131.547501, 38.982567
541695, 131.613434, 38.982567
541700, 131.701324, 39.004539
541705, 131.833160, 39.026512
541709, 131.943024, 39.070457
541714, 131.964996, 39.004539
541719, 132.096832, 39.026512
541724, 132.250626, 39.026512
541729, 132.338516, 39.026512
541785, 132.382477, 39.136368
541785, 132.470367, 39.136368
541786, 132.536285, 39.290176
541786, 132.602188, 39.378071
541786, 132.712067, 39.509907
541786, 132.777969, 39.597797
541793, 133.217438, 39.905415
541798, 133.261383, 39.971333
541803, 133.305328, 39.993305
541808, 133.437164, 40.213032
541813, 133.503082, 40.344868
541818, 133.612946, 40.542622
541823, 133.612946, 40.872215
541828, 133.744781, 41.157860
541833, 133.810699, 41.509422
541889, 133.876617, 41.882954
541889, 134.008453, 42.190571
541889, 134.096344, 42.608051
541889, 134.140289, 43.025532
541890, 134.250153, 43.377098
541890, 134.294083, 43.794579
541897, 134.755524, 46.914692
541902, 134.821426, 47.442036
541907, 134.843414, 48.013329
541912, 134.931305, 48.474754
541917, 134.975250, 48.958149
541922, 134.997208, 49.397602
541927, 135.085098, 49.837055
541932, 135.107086, 50.320457
541937, 135.129059, 50.781883
541992, 135.107086, 51.199364
541993, 135.194977, 51.594868
541996, 135.216949, 52.034321
541996, 135.194977, 52.517719
541996, 135.216949, 52.957176
541996, 135.194977, 53.396629
542001, 135.260880, 55.901512
542006, 135.260880, 56.165180
542011, 135.194977, 56.582661
542016, 135.238922, 56.934223
542021, 135.282867, 57.285786
542026, 135.216949, 57.571434
542030, 135.282867, 57.769188
542035, 135.260880, 58.032860
542040, 135.282867, 58.252586
542096, 135.260880, 58.560196
542096, 135.304840, 58.757954
542097, 135.282867, 59.087543
542097, 135.326813, 59.395161
542100, 135.304840, 59.658833
542100, 135.282867, 59.900532
542105, 135.370758, 61.218891
542110, 135.370758, 61.306782
542114, 135.370758, 61.482563
542119, 135.414703, 61.570454
542124, 135.370758, 61.658344
542129, 135.304840, 61.856098
542134, 135.392731, 61.965961
542139, 135.414703, 62.031879
542144, 135.370758, 62.185688
542200, 135.458649, 62.295551
542200, 135.524551, 62.449364
542200, 135.480621, 62.603172
542201, 135.502594, 62.669090
542201, 135.524551, 62.778954
542201, 135.458649, 62.910789
542204, 135.854156, 63.657856
542209, 135.876129, 63.679829
542213, 135.920074, 63.855610
542218, 136.029938, 63.987446
542223, 136.029938, 64.075340
542228, 136.051910, 64.185204
542233, 136.051910, 64.317039
542238, 136.095856, 64.360985
542243, 135.985977, 64.382957
542248, 136.095856, 64.426903
542303, 136.095856, 64.492821
542304, 136.117828, 64.536766
542304, 136.095856, 64.624657
542304, 136.095856, 64.734520
542305, 136.183746, 64.756493
542305, 136.139801, 64.888329
542307, 136.139801, 64.888329
542312, 136.117828, 64.866356
542317, 136.183746, 64.910301
542322, 136.227692, 64.888329
542327, 136.271637, 64.888329
542332, 136.315582, 64.888329
542337, 136.315582, 64.998192
542342, 136.381500, 64.888329
542347, 136.447418, 64.888329
542352, 136.469391, 64.888329
542407, 136.469391, 64.954247
542408, 136.535309, 64.932274
542408, 136.513321, 64.866356
542408, 136.579254, 64.910301
542409, 136.623199, 64.888329
542409, 136.645172, 64.888329
542411, 137.040665, 64.822411
542416, 137.194489, 64.800438
542420, 137.282379, 64.712547
542426, 137.392227, 64.734520
542431, 137.458160, 64.734520
542436, 137.568008, 64.734520
542441, 137.699860, 64.690575
542446, 137.765778, 64.668602
542451, 137.919571, 64.690575
542455, 138.007477, 64.580711
542511, 138.051422, 64.536766
542511, 138.161285, 64.536766
542512, 138.249176, 64.448875
542512, 138.271149, 64.273094
542512, 138.381012, 64.295067
542512, 138.446930, 64.273094
542514, 138.556778, 64.141258
542520, 138.644669, 64.119286
542525, 138.600739, 64.119286
542530, 138.666656, 64.163231
542534, 138.732559, 64.185204
542539, 138.776520, 64.163231
542544, 138.864410, 64.229149
542549, 138.930328, 64.273094
542554, 139.062164, 64.295067
